标题,摘要,标签,情感
自然语言处理技术方法研究进展与发展趋势综述,自然语言处理（NLP）作为实现人机语义交互的核心技术，其方法体系经历了从统计学习到深度学习， 再到预训练范式的演进，持续推动认知智能系统的发展。文章系统地梳理了自然语言处理技术的三重演进阶段： 从统计方法奠定语言建模理论基础，到深度学习方法在语义表示学习方面取得突破性进展，再到预训练范式通过自监督学习实现跨任务知识迁移，揭示了各阶段的代际差异，特别剖析了当前面临的模型鲁棒性、语义边界问题以及模型参数量大等关键挑战。针对发展需求提出了提升模型鲁棒性、提高模型语义理解和推理能力以及开发高效轻量级NLP模型的新路径等重点研究方向，为后续理论探索和技术实践提供重要参考依据。,自然语言处理,积极
自然语言处理中对抗攻防的可解释性综述,针对深度学习模型安全性面临的巨大挑战，特别是易受对抗样本攻击的问题，整理近年来对抗样本与模型可解释性方面的研究进展．通过系统梳理对抗攻击和防御相关的可解释性研究，分析对抗样本的生成方法及其对模型决策过程的影响，并讨论防御对抗攻击时采用的可解释性技术和提升模型鲁棒性的方法．重点阐述了近年来对抗样本对模型分类结果的影响，可解释性技术在揭示模型决策过程脆弱性方面的有效性，以及结合可解释性的防御方法在提升模型鲁棒性方面的进展．为可解释性研究提供有价值的参考，推动深度神经网络模型在自然语言处理等领域的安全性研究．,自然语言处理,积极
基于自然语言处理的郊野公园景观多维感知研究——以上海7个郊野公园为例,郊野公园在提供居民自然野趣环境的同时，赋予居民丰富多元的感官感知体验。以上海市7个郊野公园为研究对象，运用Word2Vec词向量模型和情感倾向分析识别景观元素与感官感知并计算情感值，通过对应分析将郊野公园、景观元素和感官感知联系起来，探究景观的整体多维感知特征，并进行不同郊野公园的优势感官维度差异性分析。结果表明：在14种景观元素和5种感官维度中，访客对植物景观和视觉感知的感知程度最高；视觉与植物关联最紧密，听嗅感知来源于植物、动物和气象景观，触觉与动物、气象和设施类景观关联，味觉相对独立；7个郊野公园在5种感官维度上各有相对优势，访客对各郊野公园景观的优势感官感知与偏好存在明显的月际变化差异。以提高公园优势感官满意度、提升访客感知丰富度、打造四时景观为目标，提出郊野公园景观优化建议。,自然语言处理,积极
人工智能与自然语言处理的融合探索,随着人工智能（AI）技术的快速发展，自然语言处理（NLP）作为其核心应用之一，正在深刻影响多个行业。本研究探讨了AI与NLP的融合应用，重点分析了深度学习、强化学习及预训练模型在NLP中的重要作用。 回顾了人工智能的发展历程与主要技术，包括机器学习、深度学习、强化学习等。分析了深度学习在文本分类、 情感分析和机器翻译中的应用，特别是卷积神经网络（CNN）、循环神经网络（RNN）和Transformer架构。讨论了强化学习在对话系统和文本生成中的应用，展示了其优化文本生成质量的优势。结合预训练模型和迁移学习， 阐述了如何利用BERT和GPT模型提升NLP任务的表现，特别是在低资源语言处理中的应用。研究表明，AI与NLP 的融合正推动着自然语言处理技术的进步，未来有望进一步提升机器理解和生成自然语言的能力。,自然语言处理,积极
新工科人才培养背景下自然语言处理课程资源库建设的挑战与应对策略研究,在新工科教育背景下，自然语言处理课程资源库建设对于培养多学科融合人才至关重要。该文分析了国内外高校资源库建设的现状及差距，指出了内容更新滞后、资源形式单一等问题，并梳理了资源库建设面临的挑战，包括内容模块化设计、学科间逻辑协调以及技术平台支持的复杂性。为此，提出构建高效、智能的技术支持平台，通过云计算与大数据技术优化资源管理和用户体验，并推动资源共享与合作机制的建立，以满足多样化的教学需求，最终为新工科教育提供有效路径，支持高校现代化教学改革与复合型人才的培养。具体策略包括：多元化资源整合，例如：文本、音频、 视频、案例库等；智能化平台搭建，例如：个性化学习推荐、自动评估系统等；以及合作共享机制的建立，例如：校企合作、 跨院校资源共享等。,自然语言处理,积极
基于YOLO和自然语言处理的施工方案智能审核方法,建筑施工方案的人工审核存在重复性高、耗时费力且占用专家资源等问题。为提升审核效率，促进企业智能建造发展，提出一种施工方案智能审核方法，通过审核规则编制、向量模型构建及图像文字识别技术结合，实现多类型方案智能审核。审核规则基于集团技术文件和历史审核意见样本，经历史高频审核意见筛选与专家研判后，采用正则表达式技术进行逐条编制。研究构建了基于语义相似度比对的审核模式，将方案文本内容嵌入向量空间，通过计算向量余弦相似度实现语义比对，从而提升审核灵活性与容错性。同时，引入基于YOLO 的图像文字识别技术，处理文档图片中的文字内容，确保审核全覆盖。实验结果显示，系统平均审核准确率达90.4%， 审核时间效率较人工提升87.9%，且能处理多种格式文本输入，具备良好鲁棒性，显著提高审核工作效率，对企业数字化转型与智能建造技术普及具有重要推动作用。目前，搭载此审核技术的平台已在集团多家分公司与项目应用测试，能生成准确的审核报告，实现审核效率显著提升。,自然语言处理,积极
基于自然语言处理的高职院校线上智慧教学平台设计,为了提高用户交互体验与教学效果，文章设计了基于自然语言处理的高职院校线上智慧教学平台设计。硬件方面，注重高性能与稳定性，支持多种类型的终端设备接入。软件方面，包含交互式界面、课程智能推荐模块及线上智慧教学考评。其中，交互式界面致力于提升用户友好性；基于自然语言处理的课程智能推荐模块根据学生兴趣和学习历史，精准推送课程内容；线上智慧教学考评则实现动态、全面的学习效果评估。测试结果显示，在传输大文件时，该方法的帧速率更加稳定且整体更高， 平均交互率97％以上，显著提升了用户交互体验和教学效果。,自然语言处理,积极
基于自然语言处理的社交媒体信息个性化推荐,受到用户互动行为限制与时间序列不连续不稳定的影响，用户在社交媒体中的实际行为数据较为稀疏，导致推荐过程中对特异性数据的敏感性增加，降低了个性化推荐的准确性，因此，提出基于自然语言处理的网络社交媒体信息个性化推荐方法。采用模糊聚类方法挖掘分词，基于自然语言处理对网络社交媒体分词进行融合；利用传递闭包法聚类，得到最小模糊等价矩阵，通过信息增益法，提取稀疏性数据下用户特征；设定隐语义矩阵的损失函数，使用随机梯度下降来迭代更新隐语义矩阵，获取隐语义矩阵预测得分；使用随机梯度下降求导并更新用户特征矢量，实现网络社交媒体信息个性化推荐。实验结果表明：应用所提方法对网络社交媒体进行信息个性化推荐时，实现了平均UV点击率为7.18%的显著提升，最高F1值达到0.78，同时用户满意度超过90%，说明上述方法推荐准确性较高，对于网络社交媒体信息个性化推荐效果较好。,自然语言处理,消极
国际图书情报领域自然语言处理研究综述及展望,"通过量化分析2014—2023年国际图书情报领域自然语言处理研究的相关文献,了解该领域研究发展的现状、热点并展望其发展趋势。基于WebofScience核心合集筛选出的1007篇相关文献,运用CiteSpace对发表时间、学科分布、作者分布、国家分布、关键词进行可视化处理和分析。国际图书情报领域自然语言处理研究呈现出发文量逐年递增、学科交叉特点显著、稳定的研究群体以及核心作者产出不足等特点。研究发现,图书情报领域自然语言处理研究主要集中在医学信息服务、数据挖掘与处理、网络舆情分析、生成式人工智能等领域,未来该领域发展将更加关注跨学科的智能信息服务、智慧图书馆的发展以及智能数据服务的创新应用。",自然语言处理,积极
基于自然语言处理的医疗空间知识图谱构建研究,医疗需求和医院建设不断扩增的背景下，医院设计和医疗空间组织面临复杂性挑战，需要结合人工智能方法和可视化技术进行研究。本文全面归纳医疗空间的实体和关系类型，建立医疗空间文本语料库，然后通过自然语言处理进行命名实体识别和关系抽取，构建医疗空间知识图谱，并提出相应的应用展望，为医院建筑设计管理、医疗空间功能优化提供参考。,自然语言处理,积极
自然语言处理技术在电子病历文本数据提取中的应用,随着医疗信息化的发展，电子病历已成为医疗领域的核心资源。然而，由于电子病历中蕴含着大量的非结构化文本信息，利用传统的数据处理技术无法有效解析和提取这些信息，因此，如何有效地利用、理解并从复杂的非结构化文本信息中提取信息变得尤其重要。自然语言处理 （Natural Language Processing，NLP）技术作为人工智能领域的一个重要分支，近年来受到了广泛的关注和应用，本文以我院在单病种质量控制上报系统中提取电子病历中文本数据为例，探讨自然语言处理技术在电子病历文本数据提取中的具体应用。,自然语言处理,积极
自然语言处理技术在“情指行”一体化中的应用,本文介绍了“情指行”一体化工作的背景、要求；阐述了该项工作当前在情报整合、 数据深度利用等方面普遍存在的痛难点堵点；分析了作为技术支撑手段的自然语言处理相关技术在“情指行”一体化实战平台中的应用场景；通过若干信息化、数字化平台的建设案例对应用成效进行了分析，并结合技术发展趋势对自然语言处理技术在“情指行” 一体化工作未来的应用和改进方面提出了针对性的建议。,自然语言处理,积极
从传统自然语言处理到大语言模型电子病历生成技术的探索,目的／意义探讨并展望大语言模型应用于病历文书生成的效果和关键技术，以提升临床工作效率。方法／过程综述病历文书生成技术发展历程，从传统自然语言处理方法到深度学习方法，再到大语言模型创新应用，并探讨关键技术路线。结果／结论未来研究方向主要包括基于上下文学习的病历文书生成、基于检索增强生成的病历文书生成及基于混合专家模型的病历文书生成技术。,自然语言处理,积极
自然语言处理在失语症康复中的应用研究进展,"失语症是大脑损伤导致的语言障碍,多由脑卒中引起。失语症患者在语言的所有方面均可能产生功能障碍,导致生活质量下降。自然语言处理( NLP)将计算语言学(基于规则的人类语言建模)与统计和机器学习模型相结合,使计算机和数字设备能够识别、理解和生成文本和语音。因此,使用NLP来提供新的失语症康复评定及治疗方案是目前该康复领域的研究热点。文章主要就目前NLP在失语症康复过程的语言学基础、康复评估、康复治疗等方面的最新研究进展进行综述。",自然语言处理,积极
基于自然语言处理的崆峒诗歌诗境建构分析,"将咏颂崆峒山诗歌作为一个整体,使用数字人文的方法进行分析崆峒诗歌的诗境建构是一种新视角与新方法的尝试.首先运用自然语言处理的方法将崆峒诗歌的景观要素进行统计;而后进行分类归纳: 崆峒诗歌在景观要素上可分为宏阔地域景观与微观崆峒景点的自然景观,以天、山、水、生四类的景观为核心要素;和道释儒三家的人文景观,以建筑、神仙、俗世、仙禽、丹药、传说等类为核心要素.在诗境建构上:基础景观构成了崆峒诗歌的物境;加上隐含其背后的崆峒山历史和文化背景,生成了崆峒诗歌的意象;崆峒诗歌的意象组合最终构成了整体崆峒诗歌的诗境.使用语义共现网络分析的方法可以直观看出崆峒诗歌诗境的建构出的诗境:以风光游赏中的闲适诗境、释道熏染下的超脱诗境、儒家底色下的用世诗境等三种崆峒诗境最为典型.",自然语言处理,积极
基于自然语言处理的智能客服系统研究与实现,文章研究并实现了一个基于自然语言处理（Natural Language Processing，NLP）的智能客服系统，系统设计涵盖用户界面、自然语言处理、数据库、自动化决策和集成接口五大模块。采用预训练语言模型（如BERT）进行意图识别， 使用BiLSTM-CRF模型进行实体抽取，确保对话管理的连贯性和有效性。系统通过自然语言处理技术实现了自动化的用户请求处理，能够提升客服效率和服务质量，为企业降低成本、增强市场竞争力提供了重要支持。,自然语言处理,积极
基于自然语言处理的软件开发系统分析,尽管现代的NLP模型在处理文本方面取得了巨大进步，但它们在理解复杂编程概念和上下文方面的能力仍然有限。为实现对用户需求的精准理解和解析，本文详细剖析基于自然语言处理的软件开发系统的关键技术，并通过实验验证该系统在语义理解能力、代码生成精度、性能优化与鲁棒性等方面的表现，以期揭示并强化自然语言处理技术在软件开发生态系统中的关键作用，推动软件开发模式从传统的人工编码向更为智能、灵活、高效的方向转变。,自然语言处理,积极
基于自然语言处理的“双碳”政策知识图谱构建及应用,"“双碳”政策具有发布数量多、覆盖范围广、内容复杂多样等特点,现有的呈现方式难以满足知识检索和内在分析的需求。以2 953条“双碳”政策文本为数据源,提出了一种基于自然语言处理的“双碳”政策知识图谱构建方法,首先构建了知识图谱模式层,定义了“双碳”政策实体、属性和关系,之后采用Text Rank关键词抽取、LDA主题建模等算法提取政策实体、属性及关系,构建了知识图谱数据层,最终将〈实体,关系,实体〉三元组存入Neo4j图数据库,形成“双碳”政策知识图谱。所构建的知识图谱包含2 048个实体节点和32 336条关系,可通过Cypher语言实现不同细粒度政策实体和关系的关联查询与可视化,挖掘“双碳”政策中的关键语义信息和政策热点,还可为智能服务提供语义增强功能,提高“双碳”政策推荐系统的效率和政策问答系统的准确度。",自然语言处理,积极
基于自然语言处理的智能对话系统研究,随着人工智能技术的快速发展，自然语言处理和智能对话系统已成为研究热点。文章概述了自然语言处理的基础知识和智能对话系统的架构，分析了当前智能对话系统存在的主要问题，包括语义理解的局限性、上下文连贯性的缺失以及个性化服务的不足。针对这些问题，文章提出了基于新技术的优化策略，包括利用深度学习增强语义理解， 采用强化学习优化对话策略，以及通过用户画像驱动个性化服务。,自然语言处理,积极
自然语言处理技术在企业审计中的应用研究,"随着大数据和人工智能技术的快速发展，自然语言处理（NLP）技术逐渐应用于企业审计领域，极大地提高了审计工作的效率和质量。本文以NLP领域中的生成式人工智能技术（如ChatGPT）为研究对象，探讨其在企业审计领域的应用现状及影响。在信息化时代，人工智能技术已成为推动企业管理与审计创新的重要力量。企业审计作为公司治理与风险管理的重要环节，面临着数据量大、非结构化数据处理困难等挑战。作为人工智能的重要分支，自然语言处理（Natural Language Processing, NLP）技术通过对文本数据的理解、分析和生成，为解决传统审计中数据处理效率低、非结构化数据利用不足等问题提供了新的技术路径。特别是生成式人工智能语言模型 （如OpenAI的ChatGPT）为代表的自然语言生成技术，凭借其强大的语言理解与生成能力，在信息挖掘、数据分析及报告生成等方面表现出显著优势。",自然语言处理,积极
自然语言处理:基于大语言模型的方法,"该书以时间发展为主线,从自然语言处理与神经网络的基础知识讲起,沿着预训练语言模型的发展轨迹,系统性地探讨了语言模型、预训练词向量和预训练语言模型等方法,继而深入介绍大语言模型的预训练、适配、应用、对齐、评估等关键技术环节,以及代码预训练、多模态预训练和具身预训练等延伸技术,全面和深入地分析了发展方向。",自然语言处理,积极
自然语言处理的深度学习模型综述,模型作为自然语言处理的关键，直接关系到最终性能。该文介绍自然语言处理中涉及到的模型。按照规则与统计的方法从发布时间、特点、优缺点与适用范围等方面对传统自然语言处理模型进行介绍；重点将神经网络依据不同的技术划分为不同的类型，对每种类型进行介绍并总结其相应特性；对以BERT为基础的两大类改进模型进行具体介绍并对每种模型进行归纳；分析目前自然语言处理模型面临的挑战与对应的解决办法；对未来工作进行展望。,自然语言处理,积极
基于人工智能的自然语言处理技术分析,阐述自然语言处理技术的应用，包括词向量计算、语言模拟、语义理解和对话系统。通过深度学习模型优化，提升用户体验和促进人工智能技术发展。自然语言处理技术为智能交互系统提供支持。,自然语言处理,积极
自然语言处理技术在中医临床知识库中的应用,中医学拥有悠久的历史和深厚的文化积淀，但传统文献与临床数据的非结构化存储方式严重制约了中医知识的传承与利用效率。为解决这一问题，本研究采用自然语言处理技术，对中医领域的文本数据进行系统化、结构化处理，旨在构建智能化的中医临床知识库。通过多源数据采集、语料库构建及语义关系标注，本研究实现了中医文本的语义抽取和标准化表达。知识库的框架设计融合了临床辅助决策、教学支持和科研应用功能，并具备动态更新能力。在实际测试中，该知识库显著提升了中医诊疗效率和科研分析水平，同时为教学实践提供了高效的知识支持。研究成果为中医药现代化发展提供了可靠工具，具有显著的推广价值。,自然语言处理,积极
多模态自然语言处理技术在智能文档管理中的应用,在信息技术迅速发展的今天，智能文档管理系统成为了院校和企业高效处理文档信息的关键工具。多模态自然语言处理（NLP）技术，通过结合文本、图像、音频等多种数据类型，提供了一种全面理解和处理文档的方法。首先，介绍了多模态自然语言处理技术的基本概念和智能文档管理的需求。然后，详细阐述多模态技术在文档管理中的具体应用，包括多模态数据整合的技术框架、智能文档自动分类、文档检索系统优化，以及内容摘要的生成方法。最后，通过技术应用测试展示了这些方法的实际效果和潜在价值。,自然语言处理,积极
基于自然语言处理的代码自动注释生成算法研究,"本文针对现有代码注释存在的问题,提出了一种基于自然语言处理的代码自动注释生成算法。该算法集成词向量表示、序列标注、注意力机制和注释生成等多个模块,实现了从源代码到注释文本的自动化转换。实验结果表明,该算法在准确性、实时性和通用性方面具有显著优势,有效提高了代码的可读性和可维护性。本研究为软件开发过程中的代码注释自动化提供了新的思路和方法。",自然语言处理,积极
企业社会责任文本信息操纵与ESG评级分歧———基于自然语言处理技术的分析,以2011—2020年A股上市公司社会责任报告为样本，运用自然语言处理方法提取文本信息特征，考量企业社会责任文本信息操纵行为对ESG评级分歧的影响。结果显示：企业社会责任文本信息操纵程度越大，ESG评级分歧越大。机制检验发现，企业社会责任文本信息操纵会加剧信息不对称，加深第三方评级机构对私有信息的依赖，导致ESG评级分歧。鉴于此，建议制定统一的ESG信息披露细则，加强对企业社会责任信息披露的监管和验证。,自然语言处理,消极
自然语言处理在高等教育研究中的应用,作为以语言为研究对象的计算技术集合，自然语言处理技术凭借其在处理大规模文本信息、实现文本自动分类、自动化标签提取等领域的强大功能，正日益受到人文社科研究人员的关注。高等教育研究需要从庞大复杂的知识库中提取和分析数据，不断审视已有知识和知识生产过程。充分发挥自然语言处理技术的优势，可以优化高等教育研究。本文梳理了自然语言处理技术在文本分析中的应用和相关前沿研究，分析了自然语言处理技术如何助力高等教育研究的问题，指出了自然语言处理技术在高等教育研究领域的应用方向。研究指出，既有融合自然语言处理技术的高等教育研究，在数据分析深入程度、准确性及结果可靠性等方面表现出色。自然语言处理技术对提高高等教育研究效率、深化研究主题、拓展理论与实践边界、构建自主知识体系，具有重要意义和价值。,自然语言处理,积极
人工智能赋能数字艺术创新实践——自然语言处理下二进制美学的新图景,AI（人工智能）技术的快速发展，正在对包括艺术创作在内的内容生产领域产生影响。作为探究AI技术在数字艺术创新中应用的实践案例，“自然语言处理下二进制美学的新图景”项目采用自然语言驱动范式，创造出融合二进制美学意蕴的视觉图景。 NLP（自然语言处理）和AIGC（人工智能生成内容）技术的融合正在开辟数字艺术的新疆域，但仍面临一些挑战。推动AI艺术的可持续发展需要坚持以人为本，将技术创新与伦理规范并重，深化多方协同，重塑艺术教育理念。,自然语言处理,积极
基于自然语言处理的国内财务大数据分析研究热点分析,财会“大智移云物”时代到来，传统财会人才培养也面临相应变化，财务大数据分析是适应未来财会人才需求的一项基本能力。本文力图利用人工智能中自然语言分析技术与大数据可视化技术，以CNKI近年来发表的大数据财务分析文献为研究对象，通过LDA技术提取主题大类，再结合TF-IDF、关键词共现网络进一步开展主题大类的细分，提炼其中研究热点， 提出相关建议，以期为进一步促进财务人员大数据分析能力培育成效提供一些思路。,自然语言处理,积极
基于自然语言处理的电力缺陷自动评级方法研究,现有电网的电力设备缺陷评级采用人工分类的方式，效率低且容易引入人为因素造成误分类和误评级等问题。提出了一种基于自然语言处理的缺陷自动评级方法及处置建议推送，根据电力设备缺陷文本的特点，提出基于树路径匹配算法的缺陷分类方法；针对缺陷分支定位问题，提出了基于文本相似度匹配的缺陷分类方法，对树路径匹配算法进行补充，同时实现处置建议推送。通过算例分析和测试， 验证了所提方法的可行性和有效性。,自然语言处理,消极
基于自然语言处理的枯草芽孢杆菌启动子强度预测,作为在转录水平上调节基因表达的关键元件，启动子的强度直接调控基因的表达水平。现有启动子强度预测模型多集中于大肠杆菌，针对其他物种启动子强度预测的模型则相对较少。本研究主要以枯草芽孢杆菌启动子为研究对象，收集多组枯草芽孢杆菌启动子序列强度数据，通过绿色荧光蛋白表达强度作为统一表征指标，对多组启动子强度进行标准化计算，构建枯草芽孢杆菌启动子强度数据集。分别使用7种自然语言处理方法，包括FastText、 TextCNN、TextRNN、TextRCNN、TextRNN_Att、DPCNN和Transformer，构建启动子强度预测模型。结果表明， Transformer模型在启动子强度预测任务中取得最好的预测效果，准确率可达79.49%。本研究自主构建了枯草芽孢杆菌启动子强度数据集，并使用自然语言处理的方法训练得到效果较好的启动子强度预测模型，研究结果可以为枯草芽孢杆菌特定强度启动子的筛选提供依据。,自然语言处理,积极
基于自然语言处理技术的跨媒体感知方法分析,阐述跨媒体感知与分析的特点，探讨自然语言处理技术在跨媒体感知与分析中的应用价值。提出基于自然语言处理技术的跨媒体感知与分析建议，包括对自然语言处理技术的重视、完善应用方案。,自然语言处理,积极
基于人工智能的自然语言处理技术分析,阐述人工智能以及自然语言处理的特点，分析自然语言处理工程中的人工智能框架。探讨基于人工智能的自然语言处理技术应用，包括搜索引擎、聊天机器人和机器翻译。,自然语言处理,积极
深度学习技术在自然语言处理中的应用,阐述深度学习技术在自然语言处理中的应用。通过构建深度神经网络模型，实现自动学习数据的层次化特征表示，为自然语言处理提供解决方案，包括文本分类、机器翻译、情感分析和问答系统等。,自然语言处理,积极
基于用户生成数据与自然语言处理的园林植物感知偏好研究——以武汉城市公园为例,城市公园是城市空间的重要部分，在生态、社会和经济等方面至关重要。园林植物作为主要物质空间要素，对公众身心健康有着积极的恢复和促进作用。但基于公众视角与用户生成数据对园林植物感知行为及偏好特征的深入研究较少。以武汉城市公园为对象，按照社交媒体平台优先推荐植物观赏类城市公园的原则筛选，挖掘并解译用户生成数据，借助自然语言处理算法揭示公众对园林植物的感知偏好特征及影响因素。研究表明，公众对植物的感知主要集中在植物种类、季相和植物印象3个方面。其中植物种类感知与季相、感官呈显著正相关，与公园情感得分呈负相关。平台推荐引导的植物感知重点和公众评论中的实际感知基本一致。最后，依据分析结果提出公园季相、观赏错峰、观赏种类创新、观赏植物科教4个方面的植物景观优化建议，为城市公园的园林植物配置优化、公众感知友好型城市公园规划设计等提供研究实证参考。,自然语言处理,积极
融合自然语言处理与机器学习的工单自动归类模型研究,"客户诉求工单是企业收集客户反馈的重要途径,对工单进行自动归类能够提升工作人员的办事效率。目前工单自动归类模型存在难以准确提取全局信息和读取速度较慢的问题。为了解决这些问题,研究结合了自然语言处理和机器学习技术,分别设计了结合注意力机制-双向长短时记忆网络双通道和卷积神经网络的归类模型和结合改进后自注意力机制-跳转门控循环单元和卷积神经网络的归类模型。结果显示,第一个模型准确率的最大值为 93.81%,第二个模型的均方误差平均值为1.37。研究设计归类模型的性能较好,能够为工单的自动归类提供技术上的支持。",自然语言处理,积极
入乎其内，出乎其外：基于自然语言处理的大学校训英译研究,校训是一所大学的精神表征和文化标志。本文选取“2022软科中国大学排名”中前100位的大陆高校的中文校训，以及“2022QS世界大学排名”中前100位的英语国家大学校训，收集校训平行文本语料。然后，利用Python编写自然语言处理代码，搭建词袋模型，对该平行文本语料进行分析对比。结果显示：在话语内容、结构形式、修辞手法等诸多方面，中国大学校训和英语国家大学校训存在显著差异。基于此，校训英译既要“入乎其内”，透彻理解中国大学校训和英语国家大学校训的迥异之处；又需“出乎其外”，按照英语国家大学校训在话语内容、结构形式、 修辞手法等方面的特点，依据英语国家的文化传统及受众审美需求，进行灵活调整和变通。最后，以江西理工大学校训“志存高远、责任为先”为个案，分析其英译文本“Vision and Action”的优点和不足。,自然语言处理,积极
基于自然语言处理（NLP）的生态环境准入清单政策内容分析,生态环境准入清单是生态环境分区管控制度的核心抓手，通过空间布局约束、污染排放管控、环境风险防控和资源能源利用效率控制等维度实现生态环境源头预防。生态环境准入清单存在政策文本庞大、管控措施多样、表达构成复杂特点，识别准入清单管控的对象、方式与力度是支撑生态环境分区管控政策实施的重要基础。本研究基于自然语言机器无监督学习技术对生态环境准入清单进行政策词汇模式挖掘并对政策文本设定多维定量化标签，应用自然语言深度学习模型对生态环境准入清单管控措施进行文本分类评估。河北省是我国产业门类最齐全、资源环境问题最复杂的省份之一，其生态环境准入管控具有典型性和代表性。以河北省生态环境准入清单的产业管控措施为例，识别了10类政策关键词特征、64项主要政策关键词，对全清单中对应关键词所在的语句覆盖率达95%；构造了24个管控措施-行业的分类标签，应用并比较了BERT、RoBERTa和 ALBERT深度学习模型对政策文本的分类识别效果，预测精度、召回率和F1得分最高分别可达到0.95、0.79和0.86，训练模型可较好地识别准入清单政策内容。结果显示河北省准入清单在管控措施明确化、具体化、定量化方面仍存在不足，产业精细化管控、考核指标型以及时限型内容有待补充和细化。本研究提出的方法具有较好的适用前景，建议在此基础上结合前沿人工智能方法，进一步提高模型自动处理效率、动态分析以及提供精细化政策调整建议的能力。,自然语言处理,积极
能力导向与问题驱动的自然语言处理课程改革,"针对自然语言处理课堂教学中学生学习兴趣不高、参与度较低等问题,结合自然语言处理课程本身的特点,可以采用“能力导向为指导思想,问题驱动为核心方法” 的策略进行教学改革。实践证明,通过转变教学模式,创新教学方法,能够有效激发学生的学习兴趣,引导学生探索、分析和解决问题,提高课程学习效率。",自然语言处理,积极
基于自然语言处理Gensim工具包LDA主题模型的参数设置分析,阐述基于自然语言处理Gensim工具包LDA主题模型的参数设置。介绍Gesnsim工具包中的 LdaModel函数的功能，分析各主要参数的含义并推荐设置技巧，为用户更好地使用主题模型提供帮助。,自然语言处理,积极
基于自然语言处理技术的产科电子病历质控流程构建,"目的：构建产科电子病历质控平台,优化电子病历质控流程和方法。方法：以上海交通大学医学院附属国际和平妇幼保健院产科电子病历为研究对象,分析当前电子病历中存在的问题并基于电子病历质控平台设计质控流程。结果：电子病历的结构化取得了较好成效,在产时总结中命名实体识别精确率超过97%,电子病历质控流程从多方面实现病历全生命周期质控。结论：电子病历质控平台具有广阔的应用前景,可有效提高病案质控人员的工作效率,为临床医疗数据的质量管理提供帮助。",自然语言处理,积极
